stemID           LocationX        LocationY        Length           Radians         
14991            109.96           206.35           22.06            1.57            
14992            109.96           206.35           32.41            1.05            
14993            109.96           206.35           22.06            0.52            
14994            131.94           200.32           30.01            1.05            
14995            131.94           200.32           44.10            0.52            
14996            131.94           200.32           30.01            0.00            
14997            126.16           178.27           22.06            0.52            
14998            126.16           178.27           32.41            0.00            
14999            126.16           178.27           22.06            -0.52           
15000            87.93            192.46           18.91            2.09            
15001            87.93            192.46           27.79            1.57            
15002            87.93            192.46           18.91            1.05            
15003            106.84           197.42           25.73            1.57            
15004            106.84           197.42           37.81            1.05            
15005            106.84           197.42           25.73            0.52            
15006            112.00           178.57           18.91            1.05            
15007            112.00           178.57           27.79            0.52            
15008            112.00           178.57           18.91            0.00            
15009            127.78           186.06           23.83            1.57            
15010            127.78           186.06           35.01            1.05            
15011            127.78           186.06           23.83            0.52            
15012            151.52           179.56           32.41            1.05            
15013            151.52           179.56           47.62            0.52            
15014            151.52           179.56           32.41            0.00            
15015            145.28           155.74           23.83            0.52            
15016            145.28           155.74           35.01            0.00            
15017            145.28           155.74           23.83            -0.52           
15018            130.90           145.82           18.91            1.05            
15019            130.90           145.82           27.79            0.52            
15020            130.90           145.82           18.91            0.00            
15021            144.65           131.93           25.73            0.52            
15022            144.65           131.93           37.81            0.00            
15023            144.65           131.93           25.73            -0.52           
15024            130.90           118.03           18.91            0.00            
15025            130.90           118.03           27.79            -0.52           
15026            130.90           118.03           18.91            -1.05           
15027            -141.12          100.34           12.87            4.71            
15028            -141.12          100.34           20.43            4.19            
15029            -141.12          100.34           12.87            3.67            
15030            -154.97          104.14           17.51            4.19            
15031            -154.97          104.14           27.79            3.67            
15032            -154.97          104.14           17.51            3.14            
15033            -149.82          118.03           11.92            3.67            
15034            -149.82          118.03           18.91            3.14            
15035            -149.82          118.03           11.92            2.62            
15036            -166.93          119.06           16.22            4.19            
15037            -166.93          119.06           25.73            3.67            
15038            -166.93          119.06           16.22            3.14            
15039            -182.45          131.93           23.82            3.67            
15040            -182.45          131.93           37.80            3.14            
15041            -182.45          131.93           23.82            2.62            
15042            -166.93          144.79           16.22            3.14            
15043            -166.93          144.79           25.73            2.62            
15044            -166.93          144.79           16.22            2.09            
15045            -149.82          145.82           11.92            3.67            
15046            -149.82          145.82           18.91            3.14            
15047            -149.82          145.82           11.92            2.62            
15048            -154.97          159.72           17.51            3.14            
15049            -154.97          159.72           27.79            2.62            
15050            -154.97          159.72           17.51            2.09            
15051            -140.36          162.20           11.92            2.62            
15052            -140.36          162.20           18.91            2.09            
15053            -140.36          162.20           11.92            1.57            
15054            -165.92          143.83           15.01            4.19            
15055            -165.92          143.83           23.82            3.67            
15056            -165.92          143.83           15.01            3.14            
15057            -180.29          155.74           22.06            3.67            
15058            -180.29          155.74           35.00            3.14            
15059            -180.29          155.74           22.06            2.62            
15060            -165.92          167.65           15.01            3.14            
15061            -165.92          167.65           23.82            2.62            
15062            -165.92          167.65           15.01            2.09            
15063            -183.93          179.56           20.43            3.67            
15064            -183.93          179.56           32.41            3.14            
15065            -183.93          179.56           20.43            2.62            
15066            -192.76          203.37           30.01            3.14            
15067            -192.76          203.37           47.62            2.62            
15068            -192.76          203.37           30.01            2.09            
15069            -167.73          207.63           20.43            2.62            
15070            -167.73          207.63           32.41            2.09            
15071            -167.73          207.63           20.43            1.57            
15072            -148.41          197.97           15.01            3.14            
15073            -148.41          197.97           23.82            2.62            
15074            -148.41          197.97           15.01            2.09            
15075            -145.28          216.38           22.06            2.62            
15076            -145.28          216.38           35.00            2.09            
15077            -145.28          216.38           22.06            1.57            
15078            -127.78          209.89           15.01            2.09            
15079            -127.78          209.89           23.82            1.57            
15080            -127.78          209.89           15.01            1.05            
15081            -130.91          178.57           11.92            3.67            
15082            -130.91          178.57           18.91            3.14            
15083            -130.91          178.57           11.92            2.62            
15084            -136.07          192.46           17.51            3.14            
15085            -136.07          192.46           27.79            2.62            
15086            -136.07          192.46           17.51            2.09            
15087            -121.46          194.95           11.92            2.62            
15088            -121.46          194.95           18.91            2.09            
15089            -121.46          194.95           11.92            1.57            
15090            -129.12          210.28           16.22            3.14            
15091            -129.12          210.28           25.73            2.62            
15092            -129.12          210.28           16.22            2.09            
15093            -125.74          230.16           23.82            2.62            
15094            -125.74          230.16           37.80            2.09            
15095            -125.74          230.16           23.82            1.57            
15096            -106.84          223.15           16.22            2.09            
15097            -106.84          223.15           25.73            1.57            
15098            -106.84          223.15           16.22            1.05            
15099            -97.39           208.84           11.92            2.62            
15100            -97.39           208.84           18.91            2.09            
15101            -97.39           208.84           11.92            1.57            
15102            -87.93           220.25           17.51            2.09            
15103            -87.93           220.25           27.79            1.57            
15104            -87.93           220.25           17.51            1.05            
15105            -78.47           208.84           11.92            1.57            
15106            -78.47           208.84           18.91            1.05            
15107            -78.47           208.84           11.92            0.52            
15108            -145.27          167.24           13.90            4.19            
15109            -145.27          167.24           22.06            3.67            
15110            -145.27          167.24           13.90            3.14            
15111            -158.58          178.27           20.43            3.67            
15112            -158.58          178.27           32.41            3.14            
15113            -158.58          178.27           20.43            2.62            
15114            -145.27          189.31           13.90            3.14            
15115            -145.27          189.31           22.06            2.62            
15116            -145.27          189.31           13.90            2.09            
15117            -161.95          200.32           18.91            3.67            
15118            -161.95          200.32           30.01            3.14            
15119            -161.95          200.32           18.91            2.62            
15120            -170.13          222.37           27.79            3.14            
15121            -170.13          222.37           44.09            2.62            
15122            -170.13          222.37           27.79            2.09            
15123            -146.95          226.32           18.91            2.62            
15124            -146.95          226.32           30.01            2.09            
15125            -146.95          226.32           18.91            1.57            
15126            -129.06          217.38           13.90            3.14            
15127            -129.06          217.38           22.06            2.62            
15128            -129.06          217.38           13.90            2.09            
15129            -126.16          234.42           20.43            2.62            
15130            -126.16          234.42           32.41            2.09            
15131            -126.16          234.42           20.43            1.57            
